═══════════════════════════════════════════════════════════
TAB 1: GAP REGISTER — 76 ITEMS
═══════════════════════════════════════════════════════════
GAP-140,WAR ROOM,Evidence Vault (Visual Discovery Explorer),Listed as iteration 6,"427GB browsable by LEGAL ELEMENT not folder. Click 'Willfulness' → every doc negating willfulness. Click 'Brady' → every exculpatory doc. UNUSED EXCULPATORY filter = hidden weapons. Tags: which motion it supports, which count, cited or not.",MEDIUM,Spec fully in War Room v3.,This conversation — 10 iterations,S11
GAP-141,WAR ROOM,Scenario Simulator (Interactive),Listed as iteration 7,"Click through decision points at each fork. Choose 'Schmehl grants' or 'Schmehl denies.' Cascade updates. Sliders: 'Groff credibility' 0-100%, 'Smith letter strength' 0-100%. WORST CASE STRESS TEST button: all variables worst-case, shows absolute floor.",MEDIUM,Spec fully in War Room v3.,This conversation — 10 iterations,S11
GAP-142,WAR ROOM,Session Replay + Decision Log,Listed as iteration 9,"Timestamped log of every war room interaction. What you looked at, changed, decided. REPLAY LAST SESSION button. EXPORT DECISION LOG for Claude Code agents. Also serves as SOVEREIGN RECORD — timestamped proof of when strategy developed.",LOW,Spec in War Room v3 as future iteration.,This conversation — 10 iterations,S11
GAP-143,CROSS-EXAM,Simmons Cross-Exam — 3 Phase Structure,8-question script targeting wrong person (Crawley),CORRECTED: Phase 1 = AOPC destruction (45 min). Phase 2 = Five9 ambush (15 min). Phase 3 = done. Simmons ONLY at Franks hearing. Handshake is SEPARATE event at TRIAL via junior agent.,CRITICAL,Rewrite Section 9 cross-exam entirely. Two separate scripts: Simmons (Franks) and Junior Agent (Trial/Handshake).,This conversation — handshake correction,S9
GAP-144,CROSS-EXAM,Junior Agent Handshake Extraction Script,Not written (wrong person targeted),NEW SCRIPT NEEDED: Target = one of 3 junior FBI agents at trial. Questions: present at superseding? Dalke present? I approached him? What did I do? What did I say? You assess demeanor professionally? You noted mine.,CRITICAL,Write new cross-exam script for junior agent. 6-8 questions. Add to Section 9.,This conversation — handshake correction,S9
GAP-145,DISCOVERY,Request: Law Enforcement at May 8 Superseding,Not drafted,"Discovery request for all law enforcement personnel present at May 8, 2025 superseding indictment hearing, US Courthouse, Reading PA. Names, badge numbers, assignments. This identifies the 3 junior agents.",CRITICAL,Draft formal discovery request. Add to filing sequence as pre-trial administrative motion.,This conversation — handshake correction,S5
GAP-146,DATA,Five9 CSV Sample — 0.11% Sales Rate,Not in master plan,"From CSV 0069 (88,605 records): only 99 resulted in 'Sold' disposition = 0.11% sales rate. 32.1% answering machine. 21% no answer. 12% voicemail. 9.6% 'does not want to buy.' This is the per-call conversion rate that destroys the 'scheme' narrative.",HIGH,Add 0.11% sales rate to Section 9 Contradiction Map. Fifth data point alongside the 4 paradoxes.,Compressing already-zipped files (Jan 23),"S6, S9"
GAP-147,DATA,Gov Victim Notification — 100K+ Victims Claim,Not in master plan,"June 2025 victim notification motion: gov claimed 'over 1M calls to over 100K victims.' Actual member base: 30-40K. Inflation: 250-333%. Both numbers inflated proportionally (same 10:1 ratio maintained), suggesting coordinated inflation.",HIGH,Add to Contradiction Map as 5th paradox: Victim Count Paradox. File as Exhibit G-3.,Legal defense project strategy (Oct 15),S9
GAP-148,LEGAL,Everlaw CJA Access (Database 75633),Not in plan,"Previously active via Rush CJA program. Database ID 75633, Project ID 110962. Read-only: project listing, document search, Brady/Giglio searches. Disconnected during MCP cleanup. Re-enable via Claude.ai Connected Apps.",MEDIUM,Add to Section 12 as discovery review tool. Re-enable connection.,Everlaw data access (Feb 9),S12
GAP-149,LEGAL,Feldman Doc 507 — False Statement in Court Filing,Not in plan,"Trustee Lynn Feldman claimed in Doc 507 that debtor 'failed to appear twice.' Alan appeared Dec 17, 2025 via Zoom. Emergency motion drafted: vacate Doc 507, $10K sanctions, US Trustee referral for perjury. Shannon in camera declaration strategy.",HIGH,Add to Section 19 (Active Proceedings). This is a live bankruptcy weapon.,SHANNON V REEDY (Jan 29),NEW S19
GAP-150,LEGAL,Tonya Hatmaker Subpoena Contradiction,Not in plan,"Hatmaker told Shannon she is NOT federally subpoenaed. Rush told Alan she IS subpoenaed (per superseding). If Rush lied about subpoena status to justify inaction, this is additional malpractice evidence and potential Brady material.",HIGH,Add to Rush malpractice evidence and Section 2 data collection.,3/17 RESPOND TO DOL,"S2, NEW S19"

═══════════════════════════════════════════════════════════
TAB 2: SWEEP QUEUE — 30 SEMANTIC SEARCH QUERIES
═══════════════════════════════════════════════════════════
SEARCH QUERY,SEMANTIC INTENT,EXPECTED FINDINGS,MASTER PLAN SECTION,STATUS
pet wellness membership dental revenue pricing,Revenue generation plans and financial projections,"MRR targets, pricing models, customer acquisition costs, timeline",NEW S20 + Kelly Criterion,NOT STARTED
Menagerie platform Azure build deployment,Technical build progress for primary product,"What's built, what's not, integration points with legal system",S12,NOT STARTED
expert witness Bannister German Turner CPA testimony,Expert witness identification and preparation,"Names, qualifications, availability, cost, Daubert vulnerability",S4 + S7 Legend 2,NOT STARTED
processor reserves Netevia Nexio Maverick release payment,Financial recovery from payment processors,"Amounts held, release dates, contact persons, ticket numbers",NEW S20,NOT STARTED
Carolyn custody modification 100 percent support,Custody strategy and child support elimination,"Legal arguments, judge preferences, filing timeline",NEW S19,NOT STARTED
8 Morgan Drive foreclosure property forfeiture,Property at risk in multiple proceedings,"Docket status, forfeiture exposure, equity, defense strategy",NEW S19,NOT STARTED
motion template drafting filing EDPA format rules,Existing motion drafts and filing procedures,"What's drafted, formatting requirements, CM/ECF access status",S5,NOT STARTED
probability model prediction equation mathematical,Prior probability models and mathematical frameworks,"Existing models, equations, confidence levels, calibration data",S6,NOT STARTED
Walsh Barrera co-defendant cooperation status,Co-defendant intelligence,"Case status, cooperation, potential testimony, joint defense",S4,NOT STARTED
congressional oversight political pressure media strategy,External pressure vectors discussed,"Target committees, letter drafts, press contacts, Kevin Winters",NEW S20,NOT STARTED
SBA adversary proceeding bankruptcy St Joseph,SBA case details and strategy,"Claim amount, hearing dates, defense arguments",NEW S19,NOT STARTED
Seguro Medico DOL Grimes wage claims employee,DOL investigation details,"27 claimants, amounts, Paycor reconciliation, Hatmaker status",NEW S19,NOT STARTED
bench warrant license driver Reber pretrial services,Pretrial supervision and warrant resolution,"Payment status, reporting schedule, constraints on movement",NEW S20,NOT STARTED
Rush retainer payment $250K malpractice evidence,Rush malpractice evidence compilation,"Payment receipts, written threats, work product audit, DOL silence",NEW S19 + S4,NOT STARTED
Everlaw database discovery review coding predictive,Everlaw usage and discovery review progress,"What's been coded, Brady searches run, predictive coding results",S2 + S12,NOT STARTED
superseding indictment counts analysis elements per count,Per-count element breakdown,"Specific evidence per count, element requirements, weakness map",S3 + S9,NOT STARTED
warrant affidavit AOPC specific paragraphs claims,AOPC content analysis,Which paragraphs are factual vs inference vs Groff-sourced,S4 (Simmons),NOT STARTED
sentencing guidelines loss calculation restitution forfeiture,Sentencing exposure analysis,"Guidelines range, loss amount dispute, departure arguments",S7 Legend 8,NOT STARTED
Shannon tasks delegation role exposure legal risk,Shannon's operational role and legal exposure,"What she handles, what she knows, witness potential, SNAP exposure",S4 + NEW S20,NOT STARTED
Linear workspace queue issues projects priorities,Task management system current state,"74 issues, 8 projects, what's active, integration with Azure DevOps",S12,NOT STARTED
Belfast STT dictation correction rules YouTube corpus,Voice dictation improvement system,"50-rule correction set, YouTube corpus pipeline, integration plan",S12,NOT STARTED
Bella language Creole AI token reduction compression,Custom AI language development,"73% token reduction, vocabulary design, implementation status",S12,NOT STARTED
call transcription Five9 audio analysis compliance sales,Five9 call content analysis (beyond duration),"What calls say, compliance rate, sales scripts, misrepresentation evidence",S2 + S9,NOT STARTED
appeal Third Circuit reversal rate criminal EDPA,Appellate strategy research,"Third Circuit reversal rates, preserved issues, brief requirements",S7 Legend 5,NOT STARTED
Schmehl recusal pros cons reassignment risk,Whether to seek recusal of trial judge,Analysis concluded: DON'T recuse. Schmehl favorable. Reassignment risk.,S4,PARTIALLY DONE
closing argument opening statement trial narrative,Trial presentation materials,"Any drafted statements, narrative structure, jury address",S9,NOT STARTED
Franks motion draft brief hearing preparation,Franks motion preparation status,"What's drafted, what evidence is compiled, hearing strategy",S5,NOT STARTED
Brady Giglio demand letter draft production request,Brady production status,Letter drafted? Sent? Response received? 302s produced?,S5,NOT STARTED
ERC employee retention credit tax filing documentation,ERC evidence compilation status,"Which quarters filed, amounts, documentation quality, Smith letter analysis",S3 + S6,NOT STARTED
handshake FBI agent courthouse hallway superseding,Full handshake details and context,"Exact words said, who was present, reactions observed, timing",S9,DONE (this session)

═══════════════════════════════════════════════════════════
TAB 3: SEVERITY SUMMARY
═══════════════════════════════════════════════════════════
SEVERITY,COUNT,CATEGORIES,IMPACT IF NOT ADDRESSED
CRITICAL,,"Axelrod strategy missing, SNAP bail risk, Faretta motion missing, Rule 9011 not in plan, Five9 data treated as pending when complete, name collision (Crawley/Mary Crawley), Malcolm Smith not profiled",Defense posture fundamentally incomplete. Active threats unmonitored. Key evidence mischaracterized.
HIGH,,"Existing assets not documented (Judge Intel Pipeline, Azure infra, 540 Mayer cases). Frameworks not named (OODA, Hero's Journey, Silence Doctrine). Motions missing (Rule 29, Bill of Particulars, Faretta). People not profiled (Walsh, Mayer, Feldman, Shannon, Hatmaker).",Build plan wastes time rebuilding what exists. Motion library incomplete for trial. Key actors unanalyzed.
MEDIUM,,Technical tools not integrated. Revenue/business not connected to resource planning. Secondary frameworks not documented. Support actors not profiled.,Suboptimal resource allocation. Integration gaps between systems. Incomplete adversary intelligence.
LOW,,"Reference systems (GITBrain, Claude TUI, REDMOND OS deck). Supplementary case law citations.",Cosmetic gaps. Don't affect core strategy or build.
NONE (Verified Correct),,"Schmehl appointment year. Five9 77.6% (confirmed, strengthen).",No action needed. Strengthen language where possible.

═══════════════════════════════════════════════════════════
TAB 4: NEW SECTIONS REQUIRED FOR MASTER PLAN V2
═══════════════════════════════════════════════════════════
SECTION,TITLE,CONTENTS,GAP IDs RESOLVED,PRIORITY
S19,ACTIVE PROCEEDINGS — FULL STATUS,"All 7+ active cases with current docket status, next deadlines, opposing counsel, judge profile, strategy. Criminal, Bankruptcy main, Ready AP, SBA AP, Berks family, Montgomery custody, 8 Morgan foreclosure, DOL investigation.","GAP-032,033,034,071,074,076,078",P0
S20,THREATS + FINANCIAL STATUS,SNAP/OSIG investigation + bail risk. Pretrial supervision constraints (Reber + Manmiller). Found Bank closure (Apr 13). Processor reserves. Revenue projections. Bankroll for Kelly Criterion.,"GAP-030,031,110,111,112",P0
S21,COUNSEL STRATEGY,Axelrod/Ballard Spahr recruitment (20+ drafts). 30-day pro se sprint then handoff. Faretta motion. Pro se vs represented trade-offs. CJA/standby counsel option.,"GAP-020,021,065",P0
S22,QUALITY CONTROL,TORCH GRID (8 activation regions). Judge Scoring Rubrics (85/85 threshold). Super Agent Composite (filing taxonomy). Spectrum Analyzer. Iterate until can't lose.,"GAP-009,010,022",P1
S23,AGENT ARCHITECTURE,"META CEO Orchestrator (27 agents, 45 innovations). ANVIL fleet optimization. Workspace separation. Claude TUI. GITBrain. Prompt caching.","GAP-013,012,023,123",P2
S24,EXISTING ASSETS INVENTORY,"Everything already built: Azure infra, Supabase, MCP servers, Scout, Battle-Station skill, DocketBird pipeline, judge intel pipeline, discovery indexes, Five9 analysis. Prevents rebuilding what exists.",GAP-001 through 023,P0
S25,CITATION INDEX,"All case law citations organized by motion type. Franks, Brady, Cheek, Kousisis, Ciminelli, Kelly, Carpenter, Faretta, Strickler. Full citation with relevance note.",GAP-090 through 096,P1

═══════════════════════════════════════════════════════════
TAB 5: PARKING LOT — NON-FBI ITEMS (23 items)
═══════════════════════════════════════════════════════════
ID,CATEGORY,ITEM,DESCRIPTION,STATUS,PRIORITY,DEPENDENCIES,NOTES
PL-001,REVENUE,Pet Wellness Membership Platform,$69.98/mo. Target $500K MRR. Path to $590M-$884M exit at 50K households. Primary revenue sprint. Funds the defense.,ACTIVE BUILD,HIGH,Azure infrastructure,Kelly Criterion bankroll input. Revenue timeline affects legal resource allocation.
PL-002,REVENUE,Dental Perks Club,Parallel revenue track to pet wellness. Similar subscription model.,PLANNING,MEDIUM,Pet wellness platform,Secondary revenue stream.
PL-003,REVENUE,Menagerie Platform (Azure),"API-first, Claude Code-driven. Object storage, PostgreSQL (51 tables), Azure DevOps Kanban, AI Search, Communication Services.",ACTIVE BUILD,HIGH,Azure subscription,Infrastructure overlaps with legal system. Same Azure account.
PL-004,REVENUE,LIL RED (TypingMind Competitor),"80+ features documented. Competitor: TypingMind 141K monthly users, one-time pricing.",DOCUMENTED,MEDIUM,None,Product IP — assess bankruptcy estate implications.
PL-010,FINANCIAL,Netevia Reserve Ticket #1660604,Active reserve ticket. Recovery in progress.,ACTIVE,HIGH,Shannon delegation,Timeline and amount needed.
PL-011,FINANCIAL,Nexio Reserves,Partially released. Remaining amount TBD.,PARTIALLY RELEASED,MEDIUM,None,Track remaining balance.
PL-012,FINANCIAL,Maverick Reserves,Partially released. Remaining amount TBD.,PARTIALLY RELEASED,MEDIUM,None,Track remaining balance.
PL-013,FINANCIAL,"Found Bank Closure (Apr 13, 2026)",BOTH DPC ($63K) and ABN accounts frozen. Hard deadline.,CRITICAL DEADLINE,P0,PNC account opened,"PNC routing 043000096, acct 5015864269. ACH pull pending."
PL-020,TECH R&D,Bella Language,Custom AI-optimized semantic language. ~73% token reduction by designing vocabulary for LLM tokenizers.,R&D,LOW,None,Long-term competitive moat. Not urgent for legal.
PL-021,TECH R&D,Creole AI (Document Compression),Document compression system for AI processing.,R&D,LOW,None,Could accelerate evidence processing if built.
PL-022,TECH R&D,Belfast STT System,50-rule correction set for voice dictation. YouTube corpus pipeline designed.,DESIGNED,MEDIUM,None,Directly improves daily workflow and motion drafting speed.
PL-023,TECH R&D,META CEO Orchestrator v4.1,"Cursor-native VS Code extension. 27 agents, 45 innovations. 3-6 month competitive window.",DESIGNED,LOW,Cursor,Agent management layer. Not urgent for legal.
PL-024,TECH R&D,Claude TUI (Python/Textual),Built: claude-tui-v1. 8 files. SQLite + API client + streaming + themes.,BUILT,LOW,None,Existing terminal interface. Reference only.
PL-030,INFRASTRUCTURE,Linear Workspace,74 issues across 8 projects. Redmond OS primary queue.,ACTIVE,MEDIUM,None,Potential duplication with Azure DevOps Kanban. Choose one.
PL-031,INFRASTRUCTURE,Azure DevOps Kanban,"Org: shannykelly23. Project: Menagerie. 3 sprints, 10 work items.",PROVISIONED,MEDIUM,Azure,Integration with Linear or replacement?
PL-032,INFRASTRUCTURE,Obsidian Knowledge Base,Evaluated as navigation layer over existing filesystem. Dataview plugin.,EVALUATED,LOW,None,Nice-to-have. Not blocking anything.
PL-033,INFRASTRUCTURE,GITBrain (GitHub),"Private repo: alanredmond23-bit/GITBrain. 6 domains, 27 subdomains. 40 files.",BUILT,LOW,GitHub PAT,Conversation archival system.
PL-040,PERSONAL,Noah — Elite in Sport,Long-term goal for son.,GOAL,N/A,None,Personal priority. Not legal-adjacent.
PL-041,PERSONAL,Eva — Swimming + Ivy League Track,Long-term goal for daughter.,GOAL,N/A,None,Personal priority.
PL-042,PERSONAL,Sophia — Close Bond,"Goal: sleeping in bed, cuddling. Child dynamics.",GOAL,N/A,None,Personal priority.
PL-043,PERSONAL,Shannon — Relationship Direction TBD,Don't know about divorce. Don't force it.,ONGOING,N/A,None,"Personal. Affects legal strategy indirectly (custody, support)."
PL-044,PERSONAL,"Health — 185 lbs, Jacked, Testosterone",Physical fitness goal. Rolling timeline.,ONGOING,N/A,None,Trial stamina. Courtroom presence. Confidence.
PL-045,PERSONAL,License Restoration,Bench warrant resolved via ACH. License reinstatement pending.,IN PROGRESS,HIGH,Warrant resolution,Affects ability to attend hearings and manage daily life.

═══════════════════════════════════════════════════════════
TAB 6: PROSECUTION TEAM — CORRECTED FINAL
═══════════════════════════════════════════════════════════
NAME,ROLE,AGENCY,PRESENT AT SUPERSEDING?,HANDSHAKE WITNESS?,CROSS-EXAM TARGET?,KEY VULNERABILITY,NOTES
David Matcalf,Lead AUSA,DOJ / USAO-EDPA,UNKNOWN,NO,NO (cannot cross-exam AUSA),"Young (~38), needs this win for career. 27 counts = overcommitted. Resource-thin.",Lead prosecutor. Controls plea authority (with supervisor). All strategic pressure targets him.
Mary Crawley,Co-Prosecutor AUSA,DOJ / USAO-EDPA,NO,NO,NO (cannot cross-exam AUSA),Unknown. Need PACER case history.,Co-prosecutor. Less visible than Matcalf. Research needed.
Samuel Dalke,Junior Co-Prosecutor AUSA,DOJ / USAO-EDPA,YES,YES — Alan shook HIS hand,NO (cannot cross-exam AUSA),Junior. The one Alan approached directly. Remembers the handshake.,The handshake recipient. His memory of the moment exists even though he can't testify about it. But he told colleagues.
Courtney Simmons,FBI Special Agent,FBI,NO,NO,YES — Franks hearing (AOPC) + Trial,AOPC author. Template language risk. Five9 data contradicts her call volume claims. FBI DIOG compliance question.,PRIMARY cross-exam target. Phase 1: AOPC destruction. Phase 2: Five9 ambush. Separate from handshake.
Junior Agent 1,FBI Special Agent (supporting),FBI,YES,YES — witnessed handshake,YES — trial cross-exam for handshake,"Junior = no agenda, no credibility to protect. Most credible character witness.","African American woman. ID unknown. Obtain via discovery request: all law enforcement at May 8, 2025 superseding hearing."
Junior Agent 2,FBI Special Agent (supporting),FBI,YES,YES — witnessed handshake,YES — backup for handshake,Same as Agent 1.,Italian guy. ID unknown. Same discovery request.
Junior Agent 3,FBI Special Agent (supporting),FBI,YES,YES — witnessed handshake,YES — backup for handshake,Same as Agent 1.,"Tall, light-skinned guy. ID unknown. Same discovery request."
Albert Groff,Cooperator (co-defendant),N/A (civilian),NO,NO,YES — trial (gov witness),Pled guilty 12/16/25. Structurally impeachable (Giglio). 1 count vs Alan's 27 = asymmetry. 302s may contradict discovery.,Government's star witness. Every piece of contradicting evidence degrades his value.

═══════════════════════════════════════════════════════════
TAB 7: WAR ROOM V3 — FULL SPECIFICATION
═══════════════════════════════════════════════════════════
COMPONENT,SPECIFICATION,PRIORITY,BUILD TIME,DEPENDENCIES
SIDEBAR — Always Visible,"8 modes: COMMAND, ARSENAL, ADVERSARIES, INTEL, SCENARIOS, PRESSURE, FORGE, WAR DIARY. Icon + label. One click, never two. Current mode highlighted.",P0,1 hr,None
TOP BAR,Global search (across everything) | Trial countdown (days:hours:min) | Notification bell (4 types only) | Quick-file button,P0,30 min,Sidebar
STATUS BAR (bottom),Build progress (components/total) | Probability: favorable outcome | Next deadline | Matcalf pressure level,P0,15 min,Sidebar
1. COMMAND — Dashboard,"Default landing page. Situation report. Days-to-trial (big number, countdown clock).",P0,2 hr,Sidebar
1. COMMAND — Key Metrics,"4 big numbers: motions filed/pending, P(favorable), Matcalf pressure level, next deadline.",P0,incl,Dashboard
1. COMMAND — Today Section,"What's due, what's actionable, what changed since last session.",P0,incl,Dashboard
1. COMMAND — Alerts,"Deadline within 48hr, new docket entry, probability threshold crossed, pressure tier change. ONLY these 4.",P0,incl,Dashboard
2. ARSENAL — Motion Library,"7+ templates: Brady/Giglio, Franks, MTD 7202, Kousisis, Compel, Rule 9011, Motion in Limine, Faretta, Bill of Particulars, Rule 29. Status: draft/filed/decided.",P1,1 hr,Command
2. ARSENAL — Filing Sequence,6-move game tree with counter-moves. Visual: move → predicted response → pre-loaded counter. Drag to reorder.,P1,30 min,Motion Library
2. ARSENAL — Motion Forge,"Split-screen: left=editable markdown, right=context panel (evidence, Schmehl patterns, Matcalf predicted response, style selector). 3 simulation buttons: Schmehl Simulator, Matcalf Doppelganger, Contradiction Check.",P1,3 hr,Motion Library
2. ARSENAL — Game Tree,Interactive decision tree. Each node = a filing. Branches = possible responses. Terminal nodes = outcomes with probabilities.,P2,1 hr,Filing Sequence
3. ADVERSARIES — Actor Cards,"8 profiles: Matcalf, Crawley, Dalke, Simmons, Groff, 3 junior agents. Each card: photo placeholder, role, vulnerability, pressure meter, cross-exam status.",P1,1 hr,Command
3. ADVERSARIES — PSY-OPS Panel,7 pressure operations. Predicted internal conversations. Trigger → target → effect → predicted dialogue.,P1,30 min,Actor Cards
3. ADVERSARIES — War Board,"Visual network graph. All actors as nodes. Relationship lines. Pressure pulses (color-coded). What-If panel: toggle filing, watch nodes shift.",P2,2 hr,Actor Cards
3. ADVERSARIES — Matcalf 10 Responses,Probability-weighted table. Each response has pre-loaded counter. Signal detection: which response mode is he in?,P1,30 min,PSY-OPS
4. INTEL — Evidence Vault,"427GB browsable by legal element. Click 'Willfulness' → all negating docs. UNUSED EXCULPATORY filter. Tags: motion supported, count affected, cited/uncited.",P2,3 hr,Azure AI Search
4. INTEL — Database Status,"Supabase: 165 tables, 15K vectors, 567 docket entries. Azure: Blob, AI Search, SQL. CourtListener: 74 Schmehl opinions. Mayer: 540 cases.",P1,30 min,Command
4. INTEL — RAG Sources,"All indexed sources: discovery 427GB, Five9 1.18M files, CourtListener, PACER, DocketBird, Everlaw (if re-enabled).",P2,30 min,Database Status
4. INTEL — Live Search,"Search bar that queries across ALL data: motions, actors, evidence, thoughts, databases, calendar, scenarios. Type 'Simmons' → everything about her.",P1,1 hr,All
5. SCENARIOS — Butterfly Chains,"5 scenarios: Alpha (4.2%), Beta (5.8%), Gamma (15%), Delta (1%), Epsilon (TBD). Full cascade visualized. Cross-case contamination paths.",P1,1 hr,Probability Model
5. SCENARIOS — What-If Simulator,Interactive. Click through decision forks. Sliders for variables. WORST CASE STRESS TEST button. Even worst case is survivable.,P2,2 hr,Butterfly Chains
5. SCENARIOS — Probability Model,Bayesian posterior: 8% → 38% (6 updates visualized). Per-motion success rates. Compound formula. Sensitivity analysis.,P1,1 hr,Command
6. PRESSURE — Congressional Track,"Template letters, target committees, timing. Pressure multiplier calculator: coordinated strikes > sum of parts.",P2,1 hr,PSY-OPS
6. PRESSURE — Press/Media,Kevin Winters (existing PR contact). 38M article views. International story potential. Journalist contacts for EDPA coverage.,P2,30 min,Congressional
6. PRESSURE — Bar Complaints,"Rush disciplinary: PA Bar complaint ready. Three fronts: Disciplinary Board, criminal referral, civil malpractice (Meyerson & Miller).",P2,30 min,PSY-OPS
7. FORGE — Build Status,20 build steps. Status: complete/in-progress/not-started. ANVIL machine assignment. Critical path highlighted.,P1,30 min,Command
7. FORGE — Architecture,EFA v4 diagram. 5 layers. Azure services. MCP connections. Agent fleet.,P2,30 min,Build Status
7. FORGE — Settings,"API keys (masked), model selection, export options, design theme toggle, notification preferences, keyboard shortcuts.",P3,30 min,Build Status
8. WAR DIARY — 3AM Thoughts,Free-text entry with timestamp. Taggable. Searchable. These are the raw insights that become strategy.,P1,30 min,Command
8. WAR DIARY — Decision Log,"Every decision timestamped. What was decided, why, what it replaced. Exportable for agents.",P2,30 min,3AM Thoughts
8. WAR DIARY — Session Replay,"Replay last session's actions in order. What you looked at, changed, decided.",P3,1 hr,Decision Log
DESIGN: Background,"#050810 (near-black with blue tint). Fixed blueprint grid: 4 CSS gradients at 3-6% opacity, 20px/100px.",P0,incl,None
DESIGN: Typography,"JetBrains Mono (headers, labels, metadata). Inter (body). Letter-spacing 1-6px on all mono.",P0,incl,None
DESIGN: Cards,#1E293B bg. 1px border 15% opacity. Hover: border goes accent color + outer glow + inner glow + translateX(4px). 4px max border-radius.,P0,incl,None
DESIGN: Colors,blue=#3B82F6 (data). cyan=#06B6D4 (scraping). green=#10B981 (intel). amber=#F59E0B (strategy). red=#EF4444 (weapons). purple=#8B5CF6 (analysis). pink=#EC4899 (human). gray=#94A3B8 (foundation).,P0,incl,None
DESIGN: Rules,"No rounded >4px. No images. No gradients on cards. Color = meaning. Hover = reveal. Vertical flow. Breathing room 16-20px cards, 40px sections. Grid never stops (fixed bg).",P0,incl,None
DESIGN: Elon Rules,"Every interaction <100ms. Cmd+1-7 sections, Cmd+K search, Cmd+N thought. Dark mode ONLY. No tutorials. 4 notification types only. One primary action per screen.",P0,incl,None

═══════════════════════════════════════════════════════════
TAB 8: CROSS-EXAMINATION SCRIPTS — CORRECTED
═══════════════════════════════════════════════════════════
WITNESS,VENUE,PHASE,Q#,QUESTION,EXPECTED ANSWER,STRATEGIC FUNCTION
Courtney Simmons,FRANKS HEARING (June 2026),Phase 1: AOPC Destruction,S-01,"Agent Simmons, you authored the Affidavit of Probable Cause in this case?",Yes.,Establish ownership of the document.
Courtney Simmons,FRANKS HEARING,Phase 1,S-02,Paragraph [X] states [specific claim]. What is the source of that information?,"Various — investigation, informant, records.",Force her to identify Groff-sourced paragraphs vs. personal knowledge.
Courtney Simmons,FRANKS HEARING,Phase 1,S-03,Have you authored affidavits in other cases? How many approximately?,[Number].,"Template detection setup. If many, next question compares language."
Courtney Simmons,FRANKS HEARING,Phase 1,S-04,The language in paragraph [X] of this AOPC — have you used substantially similar language in other affidavits?,I don't recall / Possibly.,"If yes = template. If denies, produce other affidavits showing identical paragraphs."
Courtney Simmons,FRANKS HEARING,Phase 1,S-05,Did you independently verify each factual assertion before swearing to it?,Yes.,Lock her in. Every contradiction from here = either she lied or didn't verify.
Courtney Simmons,FRANKS HEARING,Phase 2: Five9 Ambush,S-06,"The AOPC references call volume to establish the scope of the alleged scheme, correct?",Yes / In part.,Foundation for Five9 data.
Courtney Simmons,FRANKS HEARING,Phase 2,S-07,How many calls did the government represent were made?,Approximately 1.1 million.,Lock in the number.
Courtney Simmons,FRANKS HEARING,Phase 2,S-08,"Agent Simmons, I have the complete Five9 export — 1,182,156 files. 77.6% were failed connections under 60 seconds. Only 9.2% — roughly 108,000 — were actual calls over 5 minutes. Were you aware of this when you swore the affidavit?",No / I was not aware of the specific breakdown.,The kill shot. She either knew (deliberate misrepresentation) or didn't know (reckless disregard). Both satisfy Franks.
Courtney Simmons,FRANKS HEARING,Phase 2,S-09,"So when the government represented '1.1 million calls' — the actual number of substantive calls was approximately 108,000. A 10.9x inflation. Is that correct?",I can't confirm that number.,She can't deny it. The data is machine-generated. Her confirmation or denial is irrelevant. Schmehl has the numbers.
Junior Agent (TBD),TRIAL (September 2026),Handshake Extraction,J-01,"You were present at the United States Courthouse in Reading, Pennsylvania on May 8, 2025, the date of the superseding indictment hearing?",Yes.,Establish presence.
Junior Agent (TBD),TRIAL,Handshake,J-02,AUSA Samuel Dalke was also present in the hallway outside the courtroom?,Yes.,Confirm Dalke's presence.
Junior Agent (TBD),TRIAL,Handshake,J-03,"After the hearing, I approached AUSA Dalke in the hallway. You observed that?",Yes.,Establish the approach.
Junior Agent (TBD),TRIAL,Handshake,J-04,What did I do when I reached him?,You shook his hand / You introduced yourself.,FBI agent delivers defendant's character to the jury.
Junior Agent (TBD),TRIAL,Handshake,J-05,I said something to him. Do you recall what I said?,Something about understanding they were doing their job / I don't recall exactly.,If recalls: devastating. If doesn't: the handshake itself is enough.
Junior Agent (TBD),TRIAL,Handshake,J-06,"In your training at the FBI Academy, you're taught to assess the demeanor and behavior of subjects and persons of interest?",Yes.,Establishes professional obligation to observe.
Junior Agent (TBD),TRIAL,Handshake,J-07,You assessed my demeanor that day.,[Cannot deny — agents always assess.],He saw it. He remembers. The jury now knows what kind of person Alan is. Not from Alan's mouth. From the FBI's.
